Category,Value,Order,Question,Answer
THE 50 STATES,$200,6,"The diatonic or ""Cajun"" accordion is the official musical instrument of this state",Louisiana
THE 50 STATES,$400,7,This state's famous Derby at Churchill Downs is held annually on the first Saturday of May,Kentucky
THE 50 STATES,$600,8,"New Englanders refer to this state as ""Down East""",Maine
THE 50 STATES,"DD: $1,000",9,"The name of this state comes from 2 Choctaw words that mean ""red"" & ""people""",
THE 50 STATES,$1000,10,National Battlefield Parks include Manassas in Virginia & Kennesaw Mountain in this state,Georgia
THE ENVIRONMENT,$200,21,"This ""colorful"" & controversial activist environmental group was formed in Canada in 1971",Greenpeace
THE ENVIRONMENT,$400,22,In 1970 President Nixon created this government body that sets and enforces national pollution control standards,the E.P.A.
THE ENVIRONMENT,$600,23,This triatomic allotrope of oxygen protects us from the full force of harmful ultraviolet rays,ozone
THE ENVIRONMENT,$800,24,"An animal fills an ecological one of these in a community, from the French for ""nest""",niche
THE ENVIRONMENT,$1000,25,"In June 1992 over 100 heads of state met in Rio de Janeiro for this environmental ""Summit""",the Earth Summit
THE EVOLUTIONARY WAR,$400,6,"In 1995 Alabama Gov. James Mocked evolution theory by imitating this type of animal whose name means ""to imitate""",an ape
THE EVOLUTIONARY WAR,$800,7,"""Thus, from the war of nature, from famine and death, the most exalted object... the production of the higher animals, directly follows.""That was the final paragraph of a famous work by this man",(Charles) Darwin
THE EVOLUTIONARY WAR,$1200,8,He surprised many in 1996 when he told the Pontifical Academy of Science that evolution was no mere hypothesis,Pope John Paul II
THE EVOLUTIONARY WAR,"DD: $1,000",9,Orderly people are bothered by the idea of thse random changes in genetic material helping evolution along,mutations
THE EVOLUTIONARY WAR,$2000,10,"A 1981 Arkansas law called for balanced teaching of evolution & this opposite type of ""science""",creationism
THE REVOLUTIONARY WAR,$200,1,"After this early battle, Americans retreated over Charlestown Neck",The Battle of Bunker Hill (or Breed\'s Hill)
THE REVOLUTIONARY WAR,$400,2,"On the evening of April 18, 1775 Robert Newman displayed 2 lanterns in this Boston structure",the Old North Church
THE REVOLUTIONARY WAR,$600,3,"In 1774 the owner of the Peggy Stewart was forced to burn his ship & its 2,000-pound cargo of this taxed item",tea
THE REVOLUTIONARY WAR,$800,4,"On September 23, 1779 he & his men successfully attacked a British convoy off Flamborough Head in the North Sea",John Paul Jones
THE REVOLUTIONARY WAR,$1000,5,"After the defeat at Yorktown, Gen. Charles O'Hara, acting for this man, gave his sword to the Americans",Cornwallis
WHEN THEY WERE TEENS,$400,11,"This TV ""Friend"" was a cheerleader at Mountain Brook High School in Alabama",Courteney Cox
WHEN THEY WERE TEENS,$800,18,This daughter of Francis Ford Coppola was an intern for fashion designer Karl Lagerfeld in Paris,Sofia Coppola
WHEN THEY WERE TEENS,$1200,19,In 1991 Heather Tom was a teen when she debuted as Victor Newman's daughter on this CBS soap opera,The Young & the Restless
WHEN THEY WERE TEENS,$1600,20,"This ""boulder"" sized wrestler & movie star was a star football player at Freedom High School in Bethlehem, Pa.",The Rock
WHEN THEY WERE TEENS,$2000,21,He was known as Chan Kong Sang in his native Hong Kong where he was a teenage stuntman & fight choreographer,Jackie Chan
YOU HAD TO EXPECT OPERA,$400,17,"We're not stringing you along: ""El Retablo de Maese Pedro"" is meant to be peformed by these toys",puppets
YOU HAD TO EXPECT OPERA,$800,28,"At the beginning of an 1893 opera, these little tykes are sent into the woods to pick strawberries",Hansel & Gretel
YOU HAD TO EXPECT OPERA,$1200,29,"King Solomon is a character in ""La Reine de Saba"", an opera about the queen of this place",Sheba
YOU HAD TO EXPECT OPERA,$1600,30,"Flosshilde is a Rhinemaiden in this composer's ""Das Rheingold""",Richard Wagner
YOU HAD TO EXPECT OPERA,DD: $800,25,"(Jimmy of the Clue Crew blows an alphorn in front of a Tyrolean chalet.)  Appropriately, an alphorn call is imitated in the overture to this 1829 Rossini opera",William Tell
"CROSSWORD CLUES ""V""",$100,2,"""Spike"" sport(10)",volleyball
"CROSSWORD CLUES ""V""",$200,4,"A ""Mature"" actor(6)",
"CROSSWORD CLUES ""V""",$300,5,"The Lord said ""it"" was his(9)",
"CROSSWORD CLUES ""V""",$400,6,One had his hand in McCarthy(13),ventriloquist
"CROSSWORD CLUES ""V""",$500,7,Cellar item seller(7),vintner
FICTIONAL CHARACTERS,$200,25,"He's the title character in ""Death of a Salesman""",Willy Loman
FICTIONAL CHARACTERS,$400,24,"Bromden, a half-Indian who has shut out society by pretending to be deaf & mute, narrates this Ken Kesey novel",One Flew Over the Cuckoo\'s Nest
FICTIONAL CHARACTERS,$600,23,"In a novel by Muriel Spark, she devotes her ""prime"" years to teaching at a girls' school",Miss Jean Brodie
FICTIONAL CHARACTERS,$800,17,"This eccentric old lady in ""Great Expectations"" dies after her wedding gown catches fire",Miss Havisham
FICTIONAL CHARACTERS,$1000,20,"This 1906 Upton Sinclair novel centers on Jurgis Rudkus, a worker in the Chicago stockyards",The Jungle
GEMS,$200,6,"When they've grown attached to an oyster or mussel shell, these gems are called blisters",pearls
GEMS,$400,7,"After emerald, this blue-green gem is the most highly prized of the beryls",aquamarine
GEMS,$600,8,The harlequin type of this gem is characterized by angular patches of fire,opal
GEMS,$800,9,A Matura diamond is actually a variety of this mineral that's used as a diamond substitute,zircon
GEMS,$1000,10,"Resembling topaz, this quartz gem derives it's name from its lemon-yellow color",citrine
ITALIAN HISTORY,$200,16,"In October 1922, he became the youngest prime minister in Italy's history",Mussolini
ITALIAN HISTORY,$400,18,In 1949 Italy became a founding member of this Western military alliance,NATO
ITALIAN HISTORY,$600,19,In the early 1850s this military hero worked as a candlemaker on Staten Island,Garibaldi
ITALIAN HISTORY,$800,21,"In the 1860 Treaty of Turin, this king granted the city of Nice to France",Victor Emmanuel
ITALIAN HISTORY,$1000,22,In 1720 the Duke of Savoy ceded Sicily to Austria & received this island in exchange,Sardinia
MAXWELL ANDERSON,$200,27,"This queen was the Anne in Anderson's 1948 ""Anne of the Thousand Days""",Anne Boleyn
MAXWELL ANDERSON,$400,28,"His 1935 play ""Winterset"" was inspired by these 2 anarchists tried for robbery & murder in the 1920s",Sacco & Vanzetti
MAXWELL ANDERSON,$600,29,"It completes the title of his first success, an anti-war drama, ""What Price...""",Glory
MAXWELL ANDERSON,$800,30,Anderson dramatized this William March novel about a grotesquely evil little girl,The Bad Seed
MAXWELL ANDERSON,"DD: $1,000",26,"""Lost in the Stars"" is a musical version of Alan Paton's ""Cry, the Beloved Country"", set here",South Africa
MUSICAL THEATRE,$100,10,"Yul Brynner played the monarch in this musical 4,625 times",The King and I
MUSICAL THEATRE,$200,14,"The working title of this musical was ""Welcome to Berlin""",Cabaret
MUSICAL THEATRE,$300,15,"This musical opens with the song ""There's A Sucker Born Every Minute""",Barnum
MUSICAL THEATRE,$400,16,"This musical about married life is an adaptation of ""The Four-Poster""",
MUSICAL THEATRE,$500,17,Fairy tales by the Grimms and others were adapted for this Stephen Sondheim musical,Into the Woods
NORTH & SOUTH,$100,21,"On April 14, 1865, General Robert Anderson raised the same flag he'd lowered over this port four years before",Fort Sumter
NORTH & SOUTH,$200,30,"On April 9, 1865, he told his troops, ""I have done my best for you; my heart is too full to say more""",Robert E. Lee
NORTH & SOUTH,$300,22,"On November 7, 1862, Ambrose Burnside replaced him as commander of the Army of the Potomac",McClellan
NORTH & SOUTH,$400,23,"In December, 1864, the rank of vice-admiral was created for this hero of Mobile Bay",David Farragut
NORTH & SOUTH,DD: $900,24,In 1861 this social reformer was appointed Union Superintendent of Nurses at age 59,Dorothea Dix
NUCLEAR ENERGY,$200,1,Almost all U.S. nuclear reactors use this liquid as a coolant,water
NUCLEAR ENERGY,$400,2,In 1957 the U.N. set up the International Atomic Energy Agency in this Austrian capital,Vienna
NUCLEAR ENERGY,$600,3,"The first underwater atomic explosion took place on July 25, 1946 off this Pacific atoll",Bikini
NUCLEAR ENERGY,$800,4,This isotope of uranium is the one used as fuel by almost all nuclear reactors,U-235
NUCLEAR ENERGY,$1000,5,Fusion reactions occur in this superhot gas made up of free electrons & free nuclei,the plasma
POLITICIANS,$200,11,This HUD secretary was president of the AFL Players Association from 1965-1970,(Jack) Kemp
POLITICIANS,$400,12,From 1955-1961 this Texan was the Senate majority leader,(Lyndon) Johnson
POLITICIANS,$600,13,"In 1984 this Democrat won election to the U.S. Senate from Tennessee, succeeding Howard Baker",(Albert) Gore (Jr.)
POLITICIANS,$800,14,"This senator from Wisconsin who founded the Progressive movement was nicknamed ""Battlin' Bob""",Bob La Follette
POLITICIANS,"DD: $2,500",15,1 of 3 women elected governor in 1990,(1 of) Ann Richards (of Texas)
SIGNS & SIGNALS,$100,25,It's waved to indicate a truce or surrender,white flag
SIGNS & SIGNALS,$200,26,"In this game, a tug on the ear means ""sounds like"", and a touch on the nose: ""you're right""",charades
SIGNS & SIGNALS,$300,27,These noisy insects are a sign of good luck in China,crickets/cicadas
SIGNS & SIGNALS,$400,28,The two types of these home-signaling devices are photoelectric & ionization,smoke detectors
SIGNS & SIGNALS,$500,29,The ringing of the church bells on this holiday in 1572 was the signal to massacre Huguenots,St. Bartholomew\'s Day
THE FAR EAST,$100,1,The Hollywood Road area in this crown colony is the place to go for antiques and art,Hong Kong
THE FAR EAST,$200,3,"Called Wai Chi in China and this in Japan, it's a strategy game of lining up black & white pieces",Go
THE FAR EAST,$300,8,Tourists visiting Ulan Toke in this Chinese inner region can rent a yurt with attached bath for the night,Inner Mongolia
THE FAR EAST,$400,9,"In this Buddhist country, April 6 is Chakri Day, a holiday honoring the ruling family",Thailand
THE FAR EAST,$500,11,"In Singapore, a statue of this Briton marks the spot where it's thought he came ashore in 1819",Sir Thomas Raffles
THE OLD WEST,$100,12,"Slang for ""food"", it preceded box, house, and wagon",chuck
THE OLD WEST,$200,13,"Joseph Glidden wasn't the first to make this fencing material, but by 1885, his design was the top seller",barbed wire
THE OLD WEST,$300,18,"In Old West slang, someone in ""these"" with another was in partnership with him",cahoots
THE OLD WEST,$400,19,"This dentist was one of Virgil Earp's deputies in Tombstone, Arizona",Doc Holliday
THE OLD WEST,$500,20,"In 1858, Sam Houston told the U.S. senate he didn't want regular troops; 1,000 of these men would do",Texas Rangers
BUSINESS & INDUSTRY,$100,2,"""Mama Mia!""; since purchasing Ronzoni, this #1 U.S. chocolate maker has become #2 in pasta",Hershey\'s
BUSINESS & INDUSTRY,$200,8,"""Like a good neighbor"", this company has been selling folks insurance since 1922",State Farm
BUSINESS & INDUSTRY,$300,10,"In 1990, to boost U.S. sales, this Korean auto company introduced its sporty Scoupe",Hyundai
BUSINESS & INDUSTRY,DD: $700,11,"A leading maker of athletic shoes, this company was named for a swift antelope",Reebok
BUSINESS & INDUSTRY,$500,12,In July 1992 this last U.S. consumer typewriter co. announced it's moving its factory to Mexico,Smith-Corona
CHEMISTRY,$200,7,The triple point is the temperature and pressure at which these three phases of a substance co-exist,Solid
CHEMISTRY,$400,8,This is the chemical formula for dry ice,CO2
CHEMISTRY,$600,9,"Neoprene, a synthetic form of this material, is more resistant to oil than the natural type",Rubber
CHEMISTRY,$800,10,This acid is the electrolyte in a lead-acid battery,Sulfuric Acid
CHEMISTRY,$1000,11,It's the type of alcohol found in alcoholic beverages,Ethyl Alcohol
EXPLORERS,$200,15,John Speke was the first European to reach this lake and identify it as the source of the Nile,Lake Victoria
EXPLORERS,$400,17,"A year after his death, one of his ships completed the first around-the-world voyage",Ferdinand Magellan
EXPLORERS,$600,18,"U.S. explorer Charles Wilkes was the first to designate this a continent, & has a land there named for him",Antarctica
EXPLORERS,$800,19,"In 1768 he led an expedition to Tahiti, where astronomers studied the transit of Venus across the sun",James Cook
EXPLORERS,$1000,20,"In 1542 after searching for the seven golden cities of Cibola, he returned to Mexico disappointed",Coronado
LITERARY RELATIVES,$200,28,"This ""Fahrenheit 451"" author is descended from a woman who was tried for witchcraft in Salem",Ray Bradbury
LITERARY RELATIVES,$400,29,"Literary sisters whose elder sisters, Maria & Elizabeth, died at ages 11 & 10 respectively",the Brontë Sisters (Emily & Charlotte Brontë accepted)
LITERARY RELATIVES,$600,30,"His first book, ""Betty Zane"", was a historical novel about one of his ancestors",Zane Grey
LITERARY RELATIVES,$800,24,"Lawrence Housman, who wrote the play ""Victoria Regina"", was this poet's brother",A.E. Housman
LITERARY RELATIVES,"DD: $1,500",25,"This ""Joseph Andrews"" author wrote a preface to his sister Sarah's novel, ""The Adventures of David Simple""",Henry Fielding
MOUNTAINS,$200,21,"This country's highest mountain is Rysy peak, about 60 miles south of Krakow",Poland
MOUNTAINS,$400,26,"Not only does Alaska have this, the highest U.S. peak, it has the next 15 tallest, too",Mt. McKinley
MOUNTAINS,$600,27,"In 1980, two Japanese climbers became the first to scale it from the north",Mt. Everest
MOUNTAINS,$800,22,"Lord Byron called this peak on the French-Italian border ""The Monarch of Mountains""",Mont Blanc
MOUNTAINS,$1000,23,"Among the ranges in this Central American country are the Tabasalu, San Blas, & Darien mountains",Panama
NEW YORK STATE,$100,21,"In 1991, New York ranked 2nd to Washington in the production of this crop, its leading fruit",Apple
NEW YORK STATE,$200,22,Slide Mountain is the highest peak in this range known for its resort hotels,Catskills
NEW YORK STATE,$300,23,"The longest river wholly within the state; it's been called ""The Rhine of America""",Hudson
NEW YORK STATE,$400,24,This Republican governor served 14 years; longer than any man since statehood,Nelson Rockefeller
NEW YORK STATE,$500,25,New York State is bordered by these two Great Lakes,Erie and Ontario
NICKNAMES,$100,26,"""The Peanut President""",Jimmy Carter
NICKNAMES,$200,27,"""No-Hit Nolan""",Nolan Ryan
NICKNAMES,$300,28,"""First Lady of the American Stage""",Helen Hayes
NICKNAMES,$400,29,"""The Steel King""",Andrew Carnegie
NICKNAMES,$500,30,"""Mother of the Civil Rights Movement""",Rosa Parks
POP MUSIC,$100,16,"""Photograph"" and ""You're Sixteen"" made him the only ex-Beatle to have two consecutive songs reach #1 in the U.S.",Ringo Starr
POP MUSIC,$200,17,"This Stones hit begins ""It is the evening of the day, I sit and watch the children play""","""As Tears Go By"""
POP MUSIC,$300,18,"""But don't forget who's takin' you home and in whose arms you're gonna be, so darlin', save"" this","""The Last Dance For Me"""
POP MUSIC,$400,19,This rock star of the '50s & '60s hit the charts again in the '70s with the Stone Canyon Band,Ricky Nelson
POP MUSIC,$500,20,This 1961 Lawrence Welk pop hit takes its title from the name of a city in India & features a harpsichord,"""Calcutta"""
POPES NAMED GREGORY,$200,6,Gregory I's name lives on in this musical form,Gregorian Chant
POPES NAMED GREGORY,$400,12,Gregory XIII is famous for his revision of this in 1582,The Calendar
POPES NAMED GREGORY,$600,13,"Not even a member of the priesthood, Gregory X was on one of these with Edward I when elected",Crusade
POPES NAMED GREGORY,$800,14,"In September 1376, Gregory XI moved the papacy from this city back to Rome",Avignon
POPES NAMED GREGORY,$1000,16,"Gregory XV canonized Teresa of Avila and this man of Loyola, among others",(St.) Ignatius
THE MING DYNASTY,$100,1,The folding type of this cooling device became accepted in China during the Ming dynasty,Fan
THE MING DYNASTY,$200,3,"Its use as a defensive barrier fell with the fall of the Ming dynasty, and it fell into disrepair",Great Wall of China
THE MING DYNASTY,$300,4,"In 1421, the emperor Yung-Lo got gung-ho and moved the capital to this city where he built an imperial palace",Peking/Beijing
THE MING DYNASTY,$400,5,"A housepet during the Ming dynasty was this Lhasa Apso relative, whose name is Chinese for ""lion""",Shih Tzu
THE MING DYNASTY,$500,6,In 1368 the Ming dynasty replaced this one founded by Kublai Khan,Yuan (Mongol)
THEATRE,$200,1,"The great ""Dionysia"" was this ancient civilization's most important drama festival",Greece
THEATRE,$400,2,"Strindberg set ""Miss Julie"" in the kitchen of a manor house in this, his native country",Sweden
THEATRE,$600,3,"This acting teacher was the artistic director of New York City's Actors Studio from 1948 until 1982, the year he died",Lee Strasberg
THEATRE,"DD: $1,600",4,"""Six Characters in Search of an Author"" was written in this language",Italian
THEATRE,$1000,5,The William Inge play in which Lola dreams that her little white puppy is never coming back,Come Back
WORD ORIGINS,$100,7,The name of this small metal fingercap is derived from an Old English word for thumb,Thimble
WORD ORIGINS,$200,9,"The name of this military horn comes from the Latin for ""young ox"" since the first ones were ox horns",Bugle
WORD ORIGINS,$300,13,"From Arabic for ""old man"", it's the leader of an Arab family, tribe, or village",sheik
WORD ORIGINS,$400,14,"This mammal's name comes from the corruption of a French phrase which meant ""phony pig""",Porcupine
WORD ORIGINS,$500,15,"This term for a person who bowls is derived from the German word for ""bowling pin""",Kegler
"""C"" IN GEOGRAPHY",$100,6,"The name of 2 cities; one in England & one in the U.S., both famous for their universities",Cambridge
"""C"" IN GEOGRAPHY",$200,7,This city was founded by England's East India Trading Company in 1690,Calcutta
"""C"" IN GEOGRAPHY",$300,11,"American city that's served by the Kennedy, Eisenhower, Stevenson, and Dan Ryan expressways",Chicago
"""C"" IN GEOGRAPHY",$400,12,"Dalmatia, for which a dog breed is named, is part of this republic of Yugoslavia",Croatia
"""C"" IN GEOGRAPHY",$500,14,Picturesque Ionian island that was the birthplace of Britain's Prince Philip,Corfu
BIBLICAL QUOTES,$200,19,"""There hath not come a razor upon mine head, for I have been a Nazarite unto God,"" he told Delilah",Samson
BIBLICAL QUOTES,$400,29,"""To every thing there is"" this, ""and a time to every purpose under the heaven""",a season
BIBLICAL QUOTES,$600,30,"""For what shall it profit a man if he shall gain the whole world and lose"" this",his own soul
BIBLICAL QUOTES,$800,28,"In the 23rd Psalm, David referred to these two items of God's, saying ""they comfort me""",thy rod and thy staff
BIBLICAL QUOTES,$1000,27,"""Now"" this ""is the substance of things hoped for, the evidence of things not seen""",faith
GOVERNMENT & POLITICS,$100,16,He was the first living president to appear on U.S. paper money--on a $10 demand note authorized in 1861,Abraham Lincoln
GOVERNMENT & POLITICS,$200,18,In 1988 this Democrat was re-elected to the U.S. Senate from Texas,Lloyd Bentsen
GOVERNMENT & POLITICS,$300,19,The Constitution originally held that untaxed members of this ethnic group were not to be counted in the census,American Indians
GOVERNMENT & POLITICS,$400,20,"He was appointed to the Supreme Court by LBJ in 1965, but resigned in 1969",Abe Fortas
GOVERNMENT & POLITICS,$500,22,"As this president's treasury secretary, Henry Morgenthau supervised the spending of some $370 billion without scandal",FDR
NUCLEAR PHYSICS,$100,26,Pu doesn't refer to the smell of a reactor but to this fuel in it,plutonium
NUCLEAR PHYSICS,$200,27,"This element, assigned atomic mass unit of 12.000, is the standard from which all others are measured",carbon
NUCLEAR PHYSICS,$300,28,In nuclear fission mass from the neutron and the bombarded nucleus become energy as per this equation,E = mc2
NUCLEAR PHYSICS,$400,29,Term for the least amount of fuel needed to keep up a chain reaction in a reactor,critical mass
NUCLEAR PHYSICS,$500,30,J.J. Thompson developed a cathode-ray tube with a screen to measure velocity of these particles,electrons
OXFORD UNIVERSITY,$200,26,"You might call this Oxford graduate the ""colossus of scholarships""",Cecil Rhodes
OXFORD UNIVERSITY,$400,25,Some say Oxford was founded after this French university barred the English from attending,University of Paris
OXFORD UNIVERSITY,$600,21,"He was a fellow of Lincoln College, Oxford, where he co-founded Methodism with his brother Charles",John Wesley
OXFORD UNIVERSITY,$800,20,"He was expelled from Oxford but nevertheless learned 25 languages & translated ""The Arabian Nights""",Sir Richard Burton
OXFORD UNIVERSITY,$1000,22,"This cardinal, a dominant force during Henry VIII's reign, founded Oxford's Christ Church College",Thomas Wolsey
PACIFIC ISLANDS,$200,9,The Paul Gauguin Museum on this island where he lived in the 1890s owns no original paintings,Tahiti
PACIFIC ISLANDS,$400,14,The eastern part of this island group is American; the western part an independent country,Samoa
PACIFIC ISLANDS,$600,16,"Associated with New Zealand, these South Sea islands named for an explorer are self-governing",the Cook Islands
PACIFIC ISLANDS,$800,17,Belgian priest Father Damien ministered to lepers on this Hawaiian island,Molokai
PACIFIC ISLANDS,$1000,15,"Following a 1987 military coup, this island country quit the British Commonwealth",Fiji
PLAYWRIGHTS,$200,23,"Marsha Mason starred in his comedy ""The Good Doctor"", based on stories by Chekhov",Neil Simon
PLAYWRIGHTS,$400,12,"His first two produced plays were ""The Zoo Story"" and ""The Death of Bessie Smith""",Edward Albee
PLAYWRIGHTS,$600,10,Francis Beaumont began his famous collaboration with this man around 1608,John Fletcher
PLAYWRIGHTS,"DD: $1,400",6,"In 1952 she told the HUAC, ""I cannot and will not cut my conscience to fit this year's fashions""",Lillian Hellman
PLAYWRIGHTS,$1000,5,"After writing ""The School for Scandal"", he became an M.P. and an advisor to the future King George IV",Richard Brinsley Sheridan
RULERS,$200,18,England's Alfred was the Great; Scotland's Robert I was this,the Bruce
RULERS,$400,4,Russia's Catherines I and II were married to men with this first name,Peter
RULERS,$600,3,"When Napoleon put him on Spain's throne, California also came under his rule",Joseph Bonaparte
RULERS,$800,2,From 1644-1912 this group of people ran the Ch'ing Dynasty in China,Manchus
RULERS,$1000,1,"In the 15th century the Attendoli family came to rule Milan & changed its name to this, meaning ""force""",Sforza
TELEVISION,$100,8,"This $104 million sequel to ""The Winds of War"" had 358 speaking parts & used 41,720 extras",War and Remembrance
TELEVISION,$200,10,"Of ""Rhoda"", ""Riptide"", or ""Remington Steele"", the one that starred the daughter of a famous actor",Remington Steele
TELEVISION,$300,13,"Sgt. John Bunnell & Officer Harry Jackson are 2 of the ""stars"" of this real-life police show on Fox",Cops
TELEVISION,$400,17,"The Robinsons, Don West, the Robot, & this cowardly doctor were ""Lost in Space""",Dr. Zachary Smith
TELEVISION,$500,23,"A year before ""Matt Houston"", he was Archie Goodwin on ""Nero Wolfe""",Lee Horsley
TIME,$200,24,"It's how long ""I've been working on the railroad""",all the livelong day
TIME,$400,13,The first month of the year with just 30 days in it,April
TIME,$600,11,"In the Queen's English, the phrase ""Time, gentlemen, please!"" refers to this",the pub is about to close
TIME,$800,8,"By the end of this era, the last trilobite bit the dust & all we have are fossil memories",Paleozoic Era
TIME,"DD: $1,000",7,The Muslim calendar reckons time from this event,
WOMEN IN SPORTS,$100,1,"In 1989, 12-year-old Victoria Brucker became the 1st U.S. girl to play in this baseball event",the Little League World Series
WOMEN IN SPORTS,$200,2,"This runner, who married Richard Slaney in 1985, holds 6 U.S. records, from 800 meters to 10,000 meters",Mary Decker
WOMEN IN SPORTS,$300,3,The 1st Olympic marathon for women was won by this American in 1984,Joan Benoit Samuelson
WOMEN IN SPORTS,$400,4,"In 1979, Ann Meyers became the first woman to sign with a men's team in this pro sport",basketball
WOMEN IN SPORTS,$500,5,The 1st American woman to win the world title in this sport was Tenley Albright,figure skating
WORD ORIGINS,$100,25,"""Saloon"" came from this French word, which sounds more elegant",salon
WORD ORIGINS,$200,24,Shade of purple whose name comes from a word for mallow because it's the color of mallow petals,mauve
WORD ORIGINS,$300,9,"Derived from the Greek for ""to sell alone""; if you have one, you alone sell a product",monopoly
WORD ORIGINS,$400,15,"The ""chop"" in ""chopsticks"" means this in Pidgin English, as in ""chop-chop""",hurry (or quick or fast)
WORD ORIGINS,"DD: $1,000",21,"This synonym for ""gloomy"" comes from a Medieval Latin term for ""evil days""",dismal
3-LETTER ANATOMY,$200,21,Don't give the principal any of this mouth part that's used to form words,lip
3-LETTER ANATOMY,$400,22,God took this body part from Adam to make woman,a rib
3-LETTER ANATOMY,$600,23,Anyone cool knows this is a person's haunch,hip
3-LETTER ANATOMY,$800,24,You'll find this body part at the center of a hurricane,an eye
3-LETTER ANATOMY,$1000,25,"Listen to Mark Antony, who might borrow one from a friend, Roman, or countryman",an ear
CLASSIC SONGS,$200,11,Around 1831 Samuel Francis Smith wrote new lyrics to the following & called it this,"""My Country"
CLASSIC SONGS,$400,12,This song with a 3-word Scottish name may keep you up late one night a year,"""Auld Lang Syne"""
CLASSIC SONGS,$600,13,A lack of swimming skills might lead you to sing this song,"""My Bonnie Lies Over The Ocean"""
CLASSIC SONGS,$800,14,This Civil War song was penned by an American feminist & peace advocate,"""The Battle Hymn Of The Republic"""
CLASSIC SONGS,$1000,15,This famous song of Naples is heard here,"""O Sole Mio"""
FAST FOOD NATION,$200,17,Crispy Strips & Original Recipe chicken,KFC
FAST FOOD NATION,$400,16,The Filet-O-Fish & Apple Dippers,McDonald\'s
FAST FOOD NATION,$600,18,The Angus Steak Burger & The Croissan'wich,Burger King
FAST FOOD NATION,$800,19,The Frosty Dairy Dessert & The Big Bacon Classic,Wendy\'s
FAST FOOD NATION,$1000,20,The Double Decker Taco & the 7-Layer Burrito,Taco Bell
HANDY TECHNOLOGY,$200,26,The Nomad Jukebox Zen Xtra is a device which plays music in this alphanumeric format,MP3
HANDY TECHNOLOGY,$400,27,"""N-Gage"" with this company's cell phone, wihch is also a portable game",Nokia
HANDY TECHNOLOGY,$600,28,You can feel your way around a game using the Dualshock controller for this video game console,PlayStation
HANDY TECHNOLOGY,$800,29,This company that sells Dimension computers now sells a GPS system for the Axim PDAs,Dell
HANDY TECHNOLOGY,$1000,30,"With its Ofoto online service & Easyshare cameras, you'll never have to develop this company's film",Kodak
JOCKS,$400,1,"This Yankee's Hall of Fame plaque says, ""greatest drawing card in history of baseball""",Babe Ruth
JOCKS,$800,2,"In 2004 this giant of a player was walked a record 232 times, 120 of them intentional",Barry Bonds
JOCKS,$1200,3,"On the website of this young NBA star, you can sign up for Melo Mobile wireless service",Carmelo Anthony
JOCKS,$1600,11,Jordin Tootoo made a long trip south to Nashville & became the first NHL player of this native ancestry,Inuit (Eskimo)
JOCKS,$2000,14,"Eddie George plays this NFL position, & Ricky Williams did",running back
LANGUAGES,$200,1,Finland has 2 national languages: Finnish & this one spoken by its neighbor,Swedish
LANGUAGES,$400,2,"(Jeff Probst, host of Survivor, gives the clue from Vanuatu.)  The Ni-Vanuatu speak a pidgin language called Bislama.  You might tell a local, ""Me no talk-talk Bislama"", which means this",I don\'t speak Bislama
LANGUAGES,$600,3,Wu & Hakka are among the many dialect groups of this language,Chinese
LANGUAGES,$800,4,"Although Spanish is based on Latin, many of its words come from this language of the Moors",Arabic
LANGUAGES,DD: $800,5,Portuguese is spoken by more than 150 million people; 80% of them live in this country,Brazil
PARTY ANIMALS,$400,21,Animal symbol of the political party that convened in New York City in August 2004,the elephant
PARTY ANIMALS,$800,22,"The short-eared type of this bird hunts by day, but many others are strictly the ""night"" type",the owl
PARTY ANIMALS,$1200,23,"This breed of setter, known in Gaelic as modder rhu or ""red dog"", is noted for its exuberance",the Irish Setter
PARTY ANIMALS,$1600,24,"The animal most closely related to humans, it's excitable, curious & needs companionship",the chimpanzee
PARTY ANIMALS,$2000,25,"It's not a social insect like an ant, but it follows ""social"" to describe a person who gets around",butterfly
THE FOREIGN EXCHANGE STUDENT,$400,13,"If you're converting dollars to bolivianos, you mean to do some spending on this continent",South America
THE FOREIGN EXCHANGE STUDENT,"DD: $2,000",15,As of 2002 the Finnish markka & Austrian schilling were replaced by this,the euro
THE FOREIGN EXCHANGE STUDENT,$1200,17,In 1995 the dollar hit a record low of 80 of this currency of a WWII opponent,the yen
THE FOREIGN EXCHANGE STUDENT,$1600,18,Australia & this nearby country of 3.9 million people use a currency called the dollar,New Zealand
THE FOREIGN EXCHANGE STUDENT,$2000,19,Belarus shares the name of this unit of currency with a larger neighbor,the ruble
THE PROM QUEEN,$400,9,The prom queen can wear this bouquet of flowers either on her wrist or pinned to her dress or purse,corsage
THE PROM QUEEN,$800,10,"The prom queen was glad that Mrs. Marcus, her favorite teacher, acted as one of these supervisors at the dance",a chaperon
THE PROM QUEEN,$1200,12,"Appropriately, the first dance for the prom queen & king was ""Let's Get It Started"" by this hip-hop group",The Black Eyed Peas
THE PROM QUEEN,$1600,16,"Since the prom was June 23, the queen picked this Shakespearean fairy tale as the theme",
THE PROM QUEEN,$2000,20,"The prom queen should know that prom is short for this, a fancy word for a stroll",promenade
THE SCIENCE GEEK,$400,26,"As a student in Paris, this Polish-born woman lived on bread & tea but graduated first in her class in physics",Marie Curie
